case_study,dmn_file,decision_name,io,variable_name,feel_type,literal_values,label
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,creditHoursEarned,number,,Credit Hours Earned
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,degreeMinimumCreditHours,number,,Degree Minimum Credit Hours
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,cumulativeGPA,number,,Cumulative GPA
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,semestersElapsed,number,,Semesters Elapsed
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,yearsElapsed,number,,Years Elapsed
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,output,eligibleToGraduate,boolean,,Eligible To Graduate
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,output,reason,string,,Reason
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,courseTypeId,string,...;REGULAR;RESEARCH,Course Type
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,priorRegistrationCount,number,,"Prior Registration Count (this student, this course)"
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isElectiveTaughtByVisitingScholarUnavailableOtherwise,boolean,,Is Elective Taught By Unavailable-Otherwise Visiting Scholar
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,isNeededToGraduateThisSummer,boolean,,Is Needed To Graduate This Summer
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,repeatCourseCountRequested,number,,Repeat Course Count Requested
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,input,enrolledStudentCount,number,,Enrolled Student Count
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,output,registrationAllowed,boolean,,Registration Allowed
FLEX2,Summer_Semester_Registration.dmn,Summer Semester Registration,output,reason,string,,Reason
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,input,isObsGroup,boolean,,Is Obs Group
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,input,conceptDatatype,string,Boolean;Coded;Date;Datetime;Numeric;Text;Time,Concept Datatype
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Value Required By Datatype,output,requiredValueColumn,string,,Required Value Column
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,isObsGroup,boolean,,Is Obs Group
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,input,anyValueFieldSet,boolean,,Any Value Field Set
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,output,obsStructureValid,boolean,,Obs Structure Valid
OpenMRS,Concept_and_Observation_Validation.dmn,Obs Group Value Exclusivity,output,reasonCode,string,,Reason Code
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,input,allowDecimal,boolean,,Allow Decimal
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,input,valueNumericHasFraction,boolean,,Value Numeric Has Fraction
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,output,precisionValid,boolean,,Precision Valid
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Precision Validity,output,reasonCode,string,,Reason Code
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,hiAbsoluteSet,boolean,,Hi Absolute Set
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,lowAbsoluteSet,boolean,,Low Absolute Set
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,valueNumeric,number,,Value Numeric
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,hiAbsolute,number,,Hi Absolute
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,input,lowAbsolute,number,,Low Absolute
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,output,absoluteRangeValid,boolean,,Absolute Range Valid
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,output,reasonCode,string,,Reason Code
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,valueNumeric,number,,Value Numeric
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,hiCritical,number,,Hi Critical
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,hiNormal,number,,Hi Normal
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,lowCritical,number,,Low Critical
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,input,lowNormal,number,,Low Normal
OpenMRS,Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,output,interpretation,string,,Interpretation
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,localePreferred,boolean,,Locale Preferred
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,isIndexTerm,boolean,,Is Index Term
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,isShortName,boolean,,Is Short Name
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,input,voided,boolean,,Voided
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,output,preferredNameValid,boolean,,Preferred Name Valid
OpenMRS,Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,output,reasonCode,string,,Reason Code
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateActivatedSet,boolean,,Date Activated Set
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateActivated,date,,Date Activated
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,evaluationTime,date,,Evaluation Time
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateStoppedSet,boolean,,Date Stopped Set
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,dateStopped,date,,Date Stopped
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,autoExpireDateSet,boolean,,Auto Expire Date Set
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,autoExpireDate,date,,Auto Expire Date
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,encounterDatetimeSet,boolean,,Encounter Datetime Set
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,input,encounterDatetime,date,,Encounter Datetime
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency Violations,output,violationReasons,string,,Violation Reason
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,output,dateActivatedValid,boolean,,
OpenMRS,Order_Validation.dmn,Order Date Activated Consistency,input,violationReasons,,,
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,input,scheduledDateSet,boolean,,Scheduled Date Set
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,input,urgency,string,ON_SCHEDULED_DATE;ROUTINE;STAT,Urgency
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,output,scheduledDateUrgencyValid,boolean,,Scheduled Date Urgency Valid
OpenMRS,Order_Validation.dmn,Order Scheduled Date Urgency Consistency,output,reasonCode,string,,Reason Code
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,input,preferredIdentifierCount,number,,Preferred Identifier Count
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,input,identifierCount,number,,Identifier Count
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,output,preferredIdentifierValid,boolean,,Preferred Identifier Valid
OpenMRS,Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,output,reasonCode,string,,Reason Code
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,input,locationSet,boolean,,Location Set
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,input,locationBehavior,string,NOT_USED;REQUIRED,Location Behavior
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,output,locationRequirementValid,boolean,,Location Requirement Valid
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Location Requirement,output,reasonCode,string,,Reason Code
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,uniquenessBehavior,string,LOCATION;NON_UNIQUE;UNIQUE,Uniqueness Behavior
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,inUseByAnotherPatient,boolean,,In Use By Another Patient
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,input,duplicateWithinSamePatient,boolean,,Duplicate Within Same Patient At Same Or Null Location
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,output,identifierUniquenessValid,boolean,,Identifier Uniqueness Valid
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Uniqueness Check,output,reasonCode,string,,Reason Code
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierBlank,boolean,,Identifier Blank
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,formatSet,boolean,,Format Set
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,input,identifierMatchesFormat,boolean,,Identifier Matches Format
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,output,identifierFormatValid,boolean,,Identifier Format Valid
OpenMRS,Patient_Identifier_Validation.dmn,Identifier Format Validity,output,reasonCode,string,,Reason Code
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,birthdate,date,,Birthdate
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,evaluationTime,date,,Evaluation Time
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,input,yearsSinceBirthdate,number,,Years Since Birthdate
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,output,birthdateValid,boolean,,Birthdate Valid
OpenMRS,Person_Demographics_Validation.dmn,Birthdate Validity,output,reasonCode,string,,Reason Code
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,dead,boolean,,Dead
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathSet,boolean,,Cause Of Death Set
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,input,causeOfDeathNonCodedSet,boolean,,Cause Of Death Non Coded Set
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,output,deathRecordValid,boolean,,Death Record Valid
OpenMRS,Person_Demographics_Validation.dmn,Death Record Consistency,output,reasonCode,string,,Reason Code
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,deathDateSet,boolean,,Death Date Set
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,deathDate,date,,Death Date
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,evaluationTime,date,,Evaluation Time
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,input,birthdate,date,,Birthdate
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency Violations,output,violationReasons,string,,Violation Reason
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency,output,deathDateValid,boolean,,
OpenMRS,Person_Demographics_Validation.dmn,Death Date Consistency,input,violationReasons,,,
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateEnrolled,date,,Date Enrolled
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,evaluationTime,date,,Evaluation Time
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateCompletedSet,boolean,,Date Completed Set
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,input,dateCompleted,date,,Date Completed
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,output,violationReasons,string,,Violation Reason
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,output,enrollmentDatesValid,boolean,,
OpenMRS,Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,input,violationReasons,,,
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,startDateSet,boolean,,Start Date Set
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,endDateSet,boolean,,End Date Set
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,startDate,date,,Start Date
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,input,endDate,date,,End Date
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,output,patientStateDatesValid,boolean,,Patient State Dates Valid
OpenMRS,Program_Enrollment_Validation.dmn,Patient State Date Validity,output,reasonCode,string,,Reason Code
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,startDateSet,boolean,,Start Date Set
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,endDateSet,boolean,,End Date Set
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,startDate,date,,Start Date
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,evaluationTime,date,,Evaluation Time
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,input,endDate,date,,End Date
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,output,violationReasons,string,,Violation Reason
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,output,relationshipDatesValid,boolean,,
OpenMRS,Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,input,violationReasons,,,
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitPatientId,string,,Visit Patient Id
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,encounterPatientId,string,,Encounter Patient Id
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,encounterDatetime,date,,Encounter Datetime
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,evaluationTime,date,,Evaluation Time
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitSet,boolean,,Visit Set
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitStartDatetime,date,,Visit Start Datetime
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,input,visitStopDatetime,date,,Visit Stop Datetime
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,output,violationReasons,string,,Violation Reason
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,output,encounterDatetimeValid,boolean,,
OpenMRS,Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,input,violationReasons,,,
Spree,Customer_Segment_Eligibility.dmn,Customer Group Match Count,input,customerGroupIds,,,
Spree,Customer_Segment_Eligibility.dmn,Customer Group Match Count,input,promotionTargetGroupIds,,,
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,customerIdPresent,boolean,,order.customer_id present?
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,promotionTargetGroupsConfigured,boolean,,promotion targets >=1 customer group?
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,input,matchingCustomerGroupCount,number,,Customer Group Match Count (upstream)
Spree,Customer_Segment_Eligibility.dmn,Promotion Customer Group Eligibility,output,customerGroupEligible,boolean,,Customer-group rule eligible
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,currentOrder,,,
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,customer,,,
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,email,,,
Spree,Customer_Segment_Eligibility.dmn,Prior Completed Order Count,input,store,,,
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,input,userOrEmailPresent,boolean,,customer or email identified?
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,input,priorCompletedOrderCount,number,,Prior Completed Order Count (upstream)
Spree,Customer_Segment_Eligibility.dmn,First-Order Promotion Eligibility,output,firstOrderEligible,boolean,,First-order rule eligible
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,customerPresent,boolean,,order.customer present?
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,input,priorPromotionUsageCount,number,,Prior uses of this promotion by this customer
Spree,Customer_Segment_Eligibility.dmn,One-Use-Per-User Promotion Eligibility,output,oneUsePerUserEligible,boolean,,One-use-per-user rule eligible
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Minimum Amount Threshold,input,amountMin,,,
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Minimum Amount Threshold,input,operatorMin,,,
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Maximum Amount Threshold,input,amountMax,,,
Spree,Promotion_Order_Level_Eligibility.dmn,Effective Maximum Amount Threshold,input,operatorMax,,,
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,input,itemTotal,number,,Order item total
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,input,amountMaxSet,boolean,,Maximum amount configured?
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Item Total Eligibility,output,itemTotalEligible,boolean,,Item-total rule eligible
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,evaluationTime,date and time,,Time of eligibility check
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,startsAt,date and time,,Promotion starts_at
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,expiresAtSet,boolean,,expires_at configured?
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,input,expiresAt,date and time,,Promotion expires_at
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Temporal Availability,output,availabilityStatus,string,,Availability status
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,usageLimitSet,boolean,,usage_limit configured?
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,usageLimit,number,,Configured usage limit
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,input,adjustedCreditsCount,number,,Credits already used (adjusted)
Spree,Promotion_Order_Level_Eligibility.dmn,Promotion Usage Limit Exceeded,output,usageLimitExceeded,boolean,,Usage limit exceeded
Spree,Volume_and_Tiered_Pricing.dmn,Promotion Tiered Percent Discount Selection,input,orderAmount,number,,Amount the calculator computes against
Spree,Volume_and_Tiered_Pricing.dmn,Promotion Tiered Percent Discount Selection,output,discountPercent,number,,Percent applied by TieredPercent calculator
Spree,Volume_and_Tiered_Pricing.dmn,Price List Volume Adjustment Tier Selection,input,purchaseQuantity,number,,Quantity being priced
Spree,Volume_and_Tiered_Pricing.dmn,Price List Volume Adjustment Tier Selection,output,adjustmentPercentage,number,,Percentage adjustment applied to base price
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,minQuantity,number,,Tier min_quantity
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,percentage,number,,Tier percentage
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,siblingTierCount,number,,Other tiers already on this list
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,output,invalidReason,string,,Validation failure reason
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity,input,invalidReasons,,,
jBilling,Ageing_and_Dunning.dmn,Is Ageing Required,input,expiryDate,date,,Expiry Date
jBilling,Ageing_and_Dunning.dmn,Is Ageing Required,output,ageingRequired,boolean,,Ageing Required
jBilling,Ageing_and_Dunning.dmn,Invoice Overdue Check,input,dueDatePlusGrace,date,,Invoice Due Date Plus Grace
jBilling,Ageing_and_Dunning.dmn,Invoice Overdue Check,output,invoiceOverdue,boolean,,Invoice Overdue
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,currentStatusIsActive,boolean,,Current Status Is Active
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,ageingStepConfigFound,boolean,,Ageing Step Config Found
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,ageingRequired,boolean,,Ageing Required
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,output,advanceToNextStep,boolean,,Advance To Next Step
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,output,advancementReason,string,,Advancement Reason
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,newStatusIsDeleted,boolean,,New Status Is Deleted
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,oldStatusCanLogin,boolean,,Old Status Can Login
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,newStatusCanLogin,boolean,,New Status Can Login
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,output,orderAction,string,,Order Action
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,statusIsActive,boolean,,Status Is Active
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,statusIsDeleted,boolean,,Status Is Deleted
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,isLastSelectedStep,boolean,,Is Last Selected Step
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,inUse,boolean,,In Use
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,welcomeMessagePresent,boolean,,Welcome Message Present
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,days,number,,Days
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,output,validationResult,string,,Validation Result
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,input,hasEntitySpecificExchange,boolean,,Entity-Specific Exchange Rate Exists
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,input,hasSystemDefaultExchange,boolean,,System Default Exchange Rate Exists (entity_id = 0)
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,output,exchangeRateSource,string,,Exchange Rate Source
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,eventType,string,NEW_ACTIVE_UNTIL;NEW_QUANTITY,Event Type
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newActiveUntilProvided,boolean,,New Active-Until Provided
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldActiveUntilProvided,boolean,,Old Active-Until Provided
