dmn_file,decision_name,hit_policy,dmn_rule_id,policy_clause(s),source_document,source_page(s),source_tier,input_condition,output,extraction_method,validated_by
Academic_Standing.dmn,Admission Closure Eligibility,FIRST,Decision_AdmissionClosureEligibility_Rule_1,"Rules 3.24, 5.6","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",7;10,Tier 1 (official institutional policy document),newWarningCount=3 | yearsSinceProgramStart=- | regStatus=- | newAdmissionEligibilityNotMet=-,"admissionStatus=""Closed"" | closureReason=""3rd consecutive academic warning (CGPA<2.00 for 3 consecutive semesters)""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Admission Closure Eligibility,FIRST,Decision_AdmissionClosureEligibility_Rule_2,"Rule 3.25 -- exposed as a real date-derived duration compared against the 7-year cap, replacing maxDurationExceeded (redesigned 2026-09-10)","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",7,Tier 1 (official institutional policy document),newWarningCount=- | yearsSinceProgramStart=> 7 | regStatus=- | newAdmissionEligibilityNotMet=-,"admissionStatus=""Closed"" | closureReason=""Maximum duration to complete degree exceeded""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Admission Closure Eligibility,FIRST,Decision_AdmissionClosureEligibility_Rule_3,"Rule 3.26 -- exposed as a real status-code test against STUDENT_PROGRAM.REG_STATUS (via D_STUDENT_REG_STATUS), replacing suspendedRegistrationNotRestored; the specific code value is unconfirmed since Flex1.sql ships no seed/reference data, same caveat already documented for this schema's other coded values","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",7,Tier 1 (official institutional policy document),"newWarningCount=- | yearsSinceProgramStart=- | regStatus=""SUSPENDED_NOT_RESTORED"" | newAdmissionEligibilityNotMet=-","admissionStatus=""Closed"" | closureReason=""Failure to restore suspended registration""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Admission Closure Eligibility,FIRST,Decision_AdmissionClosureEligibility_Rule_4,Rule 3.28,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",7,Tier 1 (official institutional policy document),newWarningCount=- | yearsSinceProgramStart=- | regStatus=- | newAdmissionEligibilityNotMet=true,"admissionStatus=""Closed"" | closureReason=""Awaited result did not meet eligibility criteria for the degree program""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Admission Closure Eligibility,FIRST,Decision_AdmissionClosureEligibility_Rule_5,(no specific clause - default/catch-all row),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",,Tier 1 (official institutional policy document),newWarningCount=- | yearsSinceProgramStart=- | regStatus=- | newAdmissionEligibilityNotMet=-,"admissionStatus=""Open"" | closureReason=""No closure condition met""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Registration Eligibility,FIRST,Decision_CourseRegistrationEligibility_Rule_1,"Rule 1.20 -- exposed as a count over COURSE_PREREQ join COURSE_REGISTRATION.GRADE, replacing allPrerequisitesPassed (redesigned 2026-09-10)","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),unmetPrerequisiteCount=> 0 | newWarningCount=- | previousGradeInCourse=- | projectedTotalCoursesThisRegistration=- | maxCoursesAllowed=-,"canRegisterCourse=false | reason=""Pre-requisite course(s) not passed""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Registration Eligibility,FIRST,Decision_CourseRegistrationEligibility_Rule_2,"Rule 4.4e -- exposed as a real FEEL list-membership test against the previous grade, replacing isMandatoryReregistration","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",8,Tier 1 (official institutional policy document),"unmetPrerequisiteCount=- | newWarningCount=2 | previousGradeInCourse=not(""F"",""D"",""D+"",""C-"") | projectedTotalCoursesThisRegistration=- | maxCoursesAllowed=-","canRegisterCourse=false | reason=""On 2nd academic warning: may not register for a new (non-mandatory) course without HoD recommendation + Controller approval""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Registration Eligibility,FIRST,Decision_CourseRegistrationEligibility_Rule_3,"Rules 1.19, 4.3, 4.4c","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3;8,Tier 1 (official institutional policy document),unmetPrerequisiteCount=- | newWarningCount=- | previousGradeInCourse=- | projectedTotalCoursesThisRegistration=> maxCoursesAllowed | maxCoursesAllowed=-,"canRegisterCourse=false | reason=""Exceeds maximum permitted course load""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Academic_Standing.dmn,Course Registration Eligibility,FIRST,Decision_CourseRegistrationEligibility_Rule_4,(no specific clause - default/catch-all row),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",,Tier 1 (official institutional policy document),unmetPrerequisiteCount=- | newWarningCount=- | previousGradeInCourse=- | projectedTotalCoursesThisRegistration=- | maxCoursesAllowed=-,"canRegisterCourse=true | reason=""Eligible""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Attendance Percentage,(literal expression - not a decision table),Decision_AttendancePercentage_Expr,Derived calculation (not a numbered policy clause) - feeds Attendance Eligibility (rules 1.21/1.22),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,"Tier 4 (researcher-authored formula, standard % calculation)",formula: (lecturesAttended / lecturesHeldForOffering) * 100,attendancePercentage = (lecturesAttended / lecturesHeldForOffering) * 100,"Derived from FLEX2 schema (LECTURE, STUDENT_ATTENDANCE) to feed the policy-sourced threshold rule below it",(pending human review by researcher)
Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,UNIQUE,Decision_AttendanceEligibility_Rule_1,"Rule 1.21: attendance >= 80% - eligible, not debarred","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),attendancePercentage=>= 80,eligibleForFinalExam=true | assignedGradeOverride=null,"Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,UNIQUE,Decision_AttendanceEligibility_Rule_2,"Rule 1.22: attendance < 80% - debarred from final exam, FA grade","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),attendancePercentage=< 80,"eligibleForFinalExam=false | assignedGradeOverride=""FA""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_1,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""A+""","gradePoints=4.00 | interpretation=""Outstanding""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_2,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""A""","gradePoints=4.00 | interpretation=""Excellent""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_3,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""A-""","gradePoints=3.67 | interpretation=""Excellent""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_4,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""B+""","gradePoints=3.33 | interpretation=""Good""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_5,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""B""","gradePoints=3.00 | interpretation=""Good""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_6,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""B-""","gradePoints=2.67 | interpretation=""Good""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_7,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""C+""","gradePoints=2.33 | interpretation=""Adequate""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_8,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""C""","gradePoints=2.00 | interpretation=""Adequate""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_9,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""C-""","gradePoints=1.67 | interpretation=""Pass, the student may repeat the course""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_10,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""D+""","gradePoints=1.33 | interpretation=""Pass, the student may repeat the course""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_11,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""D""","gradePoints=1.00 | interpretation=""Pass, the student may repeat the course""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_12,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""F""","gradePoints=0.00 | interpretation=""Fail""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_13,"Rules 2.2, 2.3","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""FA""","gradePoints=0.00 | interpretation=""Fail due to shortage of attendance""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_14,"Rules 2.2, 2.9","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4;5,Tier 1 (official institutional policy document),"letterGrade=""I""","gradePoints=null | interpretation=""Incomplete""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Grading_and_Attendance.dmn,Grade Points and Interpretation,UNIQUE,Decision_GradePointsAndInterpretation_Rule_15,"Rules 2.2, 2.8","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",4,Tier 1 (official institutional policy document),"letterGrade=""W""","gradePoints=null | interpretation=""Withdrawn""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_1,"Rule 4.28 -- exposed as a real category test against COURSE.COURSE_TYPE_ID (via D_COURSE_TYPE), replacing isCoreCourse (redesigned 2026-09-10)","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),"creditsEarned=- | degreeTotalCredits=- | gradeInCourseToReplace=- | courseOfferedInFollowingSemesters=- | replacingCoursePassedAtLeastOneSemesterAfter=- | courseTypeId=""CORE""","eligibleForReplacement=false | reason=""Core courses cannot be replaced""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_2,Rule 4.27(b),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),"creditsEarned=- | degreeTotalCredits=- | gradeInCourseToReplace=not(""F"") | courseOfferedInFollowingSemesters=- | replacingCoursePassedAtLeastOneSemesterAfter=- | courseTypeId=-","eligibleForReplacement=false | reason=""Only a course with grade F may be replaced""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_3,"Rule 4.27(a) -- exposed as a real cross-variable comparison (creditsEarned < degreeTotalCredits), replacing degreeRequirementsCompletedOrCompletingThisSemester","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),creditsEarned=< degreeTotalCredits | degreeTotalCredits=- | gradeInCourseToReplace=- | courseOfferedInFollowingSemesters=- | replacingCoursePassedAtLeastOneSemesterAfter=- | courseTypeId=-,"eligibleForReplacement=false | reason=""Student has not completed / is not completing degree requirements this semester""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_4,Rule 4.27(c),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),creditsEarned=- | degreeTotalCredits=- | gradeInCourseToReplace=- | courseOfferedInFollowingSemesters=true | replacingCoursePassedAtLeastOneSemesterAfter=- | courseTypeId=-,"eligibleForReplacement=false | reason=""Course to be replaced was offered again in a following semester""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_5,Rule 4.27(d),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),creditsEarned=- | degreeTotalCredits=- | gradeInCourseToReplace=- | courseOfferedInFollowingSemesters=- | replacingCoursePassedAtLeastOneSemesterAfter=false | courseTypeId=-,"eligibleForReplacement=false | reason=""Replacing course must be passed at least one semester after the course being replaced""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,FIRST,Decision_CourseReplacementEligibility_Rule_6,Rule 4.27,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",9,Tier 1 (official institutional policy document),creditsEarned=- | degreeTotalCredits=- | gradeInCourseToReplace=- | courseOfferedInFollowingSemesters=- | replacingCoursePassedAtLeastOneSemesterAfter=- | courseTypeId=-,"eligibleForReplacement=true | reason=""Eligible for course replacement, subject to Dean's approval""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Graduation_Eligibility.dmn,Graduation Eligibility,FIRST,Decision_GraduationEligibility_Rule_1,Rule 1.25,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),creditHoursEarned=< degreeMinimumCreditHours | degreeMinimumCreditHours=- | cumulativeGPA=- | semestersElapsed=- | yearsElapsed=-,"eligibleToGraduate=false | reason=""Credit hours earned below the program's required minimum""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Graduation_Eligibility.dmn,Graduation Eligibility,FIRST,Decision_GraduationEligibility_Rule_2,Rule 1.26,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),creditHoursEarned=- | degreeMinimumCreditHours=- | cumulativeGPA=< 2.00 | semestersElapsed=- | yearsElapsed=-,"eligibleToGraduate=false | reason=""CGPA below the minimum 2.00 required for graduation""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Graduation_Eligibility.dmn,Graduation Eligibility,FIRST,Decision_GraduationEligibility_Rule_3,Rule 1.23,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),creditHoursEarned=- | degreeMinimumCreditHours=- | cumulativeGPA=- | semestersElapsed=< 8 | yearsElapsed=-,"eligibleToGraduate=false | reason=""Cannot graduate before completing the minimum duration of 4 years / 8 regular semesters""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Graduation_Eligibility.dmn,Graduation Eligibility,FIRST,Decision_GraduationEligibility_Rule_4,Rule 1.23,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",3,Tier 1 (official institutional policy document),creditHoursEarned=- | degreeMinimumCreditHours=- | cumulativeGPA=- | semestersElapsed=- | yearsElapsed=> 7,"eligibleToGraduate=false | reason=""Exceeded the maximum allowed duration of 7 years""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Graduation_Eligibility.dmn,Graduation Eligibility,FIRST,Decision_GraduationEligibility_Rule_5,(no specific clause - default/catch-all row),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",,Tier 1 (official institutional policy document),creditHoursEarned=- | degreeMinimumCreditHours=- | cumulativeGPA=- | semestersElapsed=- | yearsElapsed=-,"eligibleToGraduate=true | reason=""Meets minimum credit-hour, CGPA, and duration requirements for graduation""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Summer_Semester_Registration.dmn,Summer Semester Registration,FIRST,Decision_SummerSemesterRegistration_Rule_1,"Rule 6.3 -- exposed as a real category test against COURSE.COURSE_TYPE_ID, replacing isResearchCourseOrProject (redesigned 2026-09-10)","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",12,Tier 1 (official institutional policy document),"courseTypeId=""RESEARCH"" | priorRegistrationCount=- | isElectiveTaughtByVisitingScholarUnavailableOtherwise=- | isNeededToGraduateThisSummer=- | repeatCourseCountRequested=- | enrolledStudentCount=-","registrationAllowed=false | reason=""Research courses/projects are not offered in summer""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Summer_Semester_Registration.dmn,Summer Semester Registration,FIRST,Decision_SummerSemesterRegistration_Rule_2,"Rule 6.4 -- exposed as a real count (priorRegistrationCount = 0, i.e. no prior COURSE_REGISTRATION row), replacing isNewCourseRequest","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",12,Tier 1 (official institutional policy document),"courseTypeId=not(""RESEARCH"") | priorRegistrationCount=0 | isElectiveTaughtByVisitingScholarUnavailableOtherwise=false | isNeededToGraduateThisSummer=false | repeatCourseCountRequested=- | enrolledStudentCount=-","registrationAllowed=false | reason=""New (non-exempt) course registration is not allowed in summer""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Summer_Semester_Registration.dmn,Summer Semester Registration,FIRST,Decision_SummerSemesterRegistration_Rule_3,Rule 6.6,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",12,Tier 1 (official institutional policy document),"courseTypeId=not(""RESEARCH"") | priorRegistrationCount=- | isElectiveTaughtByVisitingScholarUnavailableOtherwise=- | isNeededToGraduateThisSummer=- | repeatCourseCountRequested=> 2 | enrolledStudentCount=-","registrationAllowed=false | reason=""Maximum of 2 repeat courses (with associated labs) allowed in summer""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Summer_Semester_Registration.dmn,Summer Semester Registration,FIRST,Decision_SummerSemesterRegistration_Rule_4,"Rule 6.10 -- exposed as a real count (COUNT(COURSE_REGISTRATION) for the offering), replacing minimumTenStudentsEnrolled","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",12,Tier 1 (official institutional policy document),"courseTypeId=not(""RESEARCH"") | priorRegistrationCount=- | isElectiveTaughtByVisitingScholarUnavailableOtherwise=- | isNeededToGraduateThisSummer=- | repeatCourseCountRequested=- | enrolledStudentCount=< 10","registrationAllowed=false | reason=""Course requires a minimum of 10 registered students to run""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Summer_Semester_Registration.dmn,Summer Semester Registration,FIRST,Decision_SummerSemesterRegistration_Rule_5,(no specific clause - default/catch-all row),"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",,Tier 1 (official institutional policy document),"courseTypeId=not(""RESEARCH"") | priorRegistrationCount=- | isElectiveTaughtByVisitingScholarUnavailableOtherwise=- | isNeededToGraduateThisSummer=- | repeatCourseCountRequested=- | enrolledStudentCount=-","registrationAllowed=true | reason=""Eligible for summer registration""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,FIRST,Decision_CreditTransferExemption_Rule_1,Rule 3.7,"NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",6,Tier 1 (official institutional policy document),cumulativeExemptedCreditPercentIfGranted=> 50 | unmetPrerequisiteAlsoPassedCount=-,"exemptionGranted=false | creditGivenForPrerequisite=false | countsTowardCGPA=false | reason=""Would exceed the 50% cap on exempted credit hours of the degree program""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,FIRST,Decision_CreditTransferExemption_Rule_2,"Rules 3.11, 3.12 -- exposed as a count over COURSE_PREREQ join COURSE_REGISTRATION, replacing prerequisiteCourseAlsoPassed (redesigned 2026-09-10)","NUCES Academic Rules and Regulations for Undergraduate Programs, Revised August 2020",6,Tier 1 (official institutional policy document),cumulativeExemptedCreditPercentIfGranted=- | unmetPrerequisiteAlsoPassedCount=0,"exemptionGranted=true | creditGivenForPrerequisite=true | countsTowardCGPA=false | reason=""Exemption granted; credit also given for the passed pre-requisite course""","Manual transcription from PDF by Claude, reviewed against exact clause wording",(pending human review by researcher)
