dmn_file,decision_name,variable_name,io,openmrs_table_column,mapping_type,notes
Concept_and_Observation_Validation.dmn,Numeric Precision Validity,valueNumericHasFraction,input,obs.value_numeric,derived,"MOD(value_numeric, 1) <> 0"
Concept_and_Observation_Validation.dmn,Numeric Precision Validity,precisionValid,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Numeric Precision Validity,reasonCode,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,hiAbsoluteSet,input,concept_numeric.hi_absolute (or concept_reference_range.hi_absolute),derived,IS NOT NULL; OpenMRS >=2.7 prefers a matching concept_reference_range row when criteria matches the person
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,lowAbsoluteSet,input,concept_numeric.low_absolute (or concept_reference_range.low_absolute),derived,IS NOT NULL
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,absoluteRangeValid,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,reasonCode,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,interpretation,output,obs.interpretation,direct - exact match,the ONE output in this rule set that is itself a persisted column
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,localePreferred,input,concept_name.locale_preferred,direct - exact match,
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,isIndexTerm,input,concept_name.concept_name_type,derived,concept_name_type = 'INDEX_TERM'
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,isShortName,input,concept_name.concept_name_type,derived,concept_name_type = 'SHORT'
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,voided,input,concept_name.voided,direct - exact match,
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,preferredNameValid,output,n/a,not-persisted,
Concept_and_Observation_Validation.dmn,Concept Preferred Name Validity,reasonCode,output,n/a,not-persisted,
Order_Validation.dmn,Order Date Activated Consistency Violations,dateActivatedSet,input,orders.date_activated,derived,IS NOT NULL
Order_Validation.dmn,Order Date Activated Consistency Violations,dateStoppedSet,input,orders.date_stopped,derived,IS NOT NULL
Order_Validation.dmn,Order Date Activated Consistency Violations,autoExpireDateSet,input,orders.auto_expire_date,derived,IS NOT NULL
Order_Validation.dmn,Order Date Activated Consistency Violations,encounterDatetimeSet,input,encounter.encounter_datetime,derived,joined via orders.encounter_id; IS NOT NULL
Order_Validation.dmn,Order Date Activated Consistency,dateActivatedValid,output,n/a,not-persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
Order_Validation.dmn,Order Date Activated Consistency Violations,violationReasons,output,n/a,not-persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
Order_Validation.dmn,Order Scheduled Date Urgency Consistency,scheduledDateSet,input,orders.scheduled_date,derived,IS NOT NULL
Order_Validation.dmn,Order Scheduled Date Urgency Consistency,scheduledDateUrgencyValid,output,n/a,not-persisted,
Order_Validation.dmn,Order Scheduled Date Urgency Consistency,reasonCode,output,n/a,not-persisted,
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,dateCompletedSet,input,patient_program.date_completed,derived,IS NOT NULL
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency,enrollmentDatesValid,output,n/a,not-persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,violationReasons,output,n/a,not-persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
Program_Enrollment_Validation.dmn,Patient State Date Validity,startDateSet,input,patient_state.start_date,derived,IS NOT NULL
Program_Enrollment_Validation.dmn,Patient State Date Validity,endDateSet,input,patient_state.end_date,derived,IS NOT NULL
Program_Enrollment_Validation.dmn,Patient State Date Validity,patientStateDatesValid,output,n/a,not-persisted,
Program_Enrollment_Validation.dmn,Patient State Date Validity,reasonCode,output,n/a,not-persisted,
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,startDateSet,input,relationship.start_date,derived,IS NOT NULL
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,endDateSet,input,relationship.end_date,derived,IS NOT NULL
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity,relationshipDatesValid,output,n/a,not-persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,violationReasons,output,n/a,not-persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,visitSet,input,encounter.visit_id,derived,IS NOT NULL
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity,encounterDatetimeValid,output,n/a,not-persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,violationReasons,output,n/a,not-persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
Person_Demographics_Validation.dmn,Birthdate Validity,birthdate,input,person.birthdate,direct,"exposed directly, replacing birthdateIsFutureDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Person_Demographics_Validation.dmn,Birthdate Validity,evaluationTime,input,n/a,not-persisted,"scenario/runtime parameter (time of validation), not a stored column"
Person_Demographics_Validation.dmn,Death Date Consistency Violations,deathDate,input,person.death_date,direct,"exposed directly, replacing deathDateIsFutureDate/deathDateBeforeBirthdate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Person_Demographics_Validation.dmn,Death Date Consistency Violations,evaluationTime,input,n/a,not-persisted,scenario/runtime parameter
Person_Demographics_Validation.dmn,Death Date Consistency Violations,birthdate,input,person.birthdate,direct,"exposed directly for the cross-variable deathDate < birthdate comparison (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Patient_Identifier_Validation.dmn,Preferred Identifier Requirement,preferredIdentifierCount,input,patient_identifier.preferred,derived-aggregate,"COUNT(*) FROM patient_identifier WHERE patient_id=? AND preferred=true -- replaces the EXISTS-style anyPreferredFlagged boolean with a count, matching this project's Spree redesign's count-instead-of-EXISTS pattern (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,valueNumeric,input,obs.value_numeric,direct,"exposed directly, replacing valueExceedsHiAbsolute/valueBelowLowAbsolute (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,hiAbsolute,input,concept_numeric.hi_absolute (or concept_reference_range.hi_absolute),direct,exposed directly for the cross-variable comparison
Concept_and_Observation_Validation.dmn,Numeric Absolute Range Validity,lowAbsolute,input,concept_numeric.low_absolute (or concept_reference_range.low_absolute),direct,exposed directly for the cross-variable comparison
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,valueNumeric,input,obs.value_numeric,direct,"exposed directly, replacing all four valueGe/Gt/Le/Lt* booleans; now a single FIRST-hit threshold ladder, same pattern as the Spree tiered-percent redesign (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,hiCritical,input,concept_numeric.hi_critical,direct,threshold column referenced by valueNumeric's comparisons
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,hiNormal,input,concept_numeric.hi_normal,direct,threshold column
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,lowCritical,input,concept_numeric.low_critical,direct,threshold column
Concept_and_Observation_Validation.dmn,Numeric Interpretation Classification,lowNormal,input,concept_numeric.low_normal,direct,threshold column
Order_Validation.dmn,Order Date Activated Consistency Violations,dateActivated,input,orders.date_activated,direct,"exposed directly, replacing dateActivatedIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Order_Validation.dmn,Order Date Activated Consistency Violations,evaluationTime,input,n/a,not-persisted,scenario/runtime parameter
Order_Validation.dmn,Order Date Activated Consistency Violations,dateStopped,input,orders.date_stopped,direct,"exposed directly, replacing dateActivatedAfterDateStopped"
Order_Validation.dmn,Order Date Activated Consistency Violations,autoExpireDate,input,orders.auto_expire_date,direct,"exposed directly, replacing dateActivatedAfterAutoExpireDate"
Order_Validation.dmn,Order Date Activated Consistency Violations,encounterDatetime,input,encounter.encounter_datetime,derived,"joined via orders.encounter_id; exposed directly, replacing encounterDatetimeAfterDateActivated"
Order_Validation.dmn,Order Scheduled Date Urgency Consistency,urgency,input,orders.urgency,direct,"exposed directly as a categorical test (= ""ON_SCHEDULED_DATE""), replacing urgencyIsOnScheduledDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,dateEnrolled,input,patient_program.date_enrolled,direct,"exposed directly, replacing dateEnrolledIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,evaluationTime,input,n/a,not-persisted,scenario/runtime parameter
Program_Enrollment_Validation.dmn,Program Enrollment Date Consistency Violations,dateCompleted,input,patient_program.date_completed,direct,"exposed directly, replacing dateCompletedIsFuture/dateCompletedBeforeDateEnrolled"
Program_Enrollment_Validation.dmn,Patient State Date Validity,startDate,input,patient_state.start_date,direct,"exposed directly, replacing endDateBeforeStartDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Program_Enrollment_Validation.dmn,Patient State Date Validity,endDate,input,patient_state.end_date,direct,exposed directly for the cross-variable comparison
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,startDate,input,relationship.start_date,direct,"exposed directly, replacing startDateAfterEndDate/startDateIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,evaluationTime,input,n/a,not-persisted,scenario/runtime parameter
Relationship_and_Encounter_Validation.dmn,Relationship Date Validity Violations,endDate,input,relationship.end_date,direct,exposed directly for the cross-variable comparison
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,visitPatientId,input,visit.patient_id,derived,"joined via encounter.visit_id = visit.visit_id; exposed as an ID-equality test, replacing visitPatientMismatch (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,encounterPatientId,input,encounter.patient_id,direct,tested via != visitPatientId
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,encounterDatetime,input,encounter.encounter_datetime,direct,"exposed directly, replacing encounterDatetimeIsFuture/BeforeVisitStart/AfterVisitStop"
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,evaluationTime,input,n/a,not-persisted,scenario/runtime parameter
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,visitStartDatetime,input,visit.date_started,derived,joined via encounter.visit_id
Relationship_and_Encounter_Validation.dmn,Encounter Datetime Validity Violations,visitStopDatetime,input,visit.date_stopped,derived,joined via encounter.visit_id
