case_study,decision_name,variable_name,io,category,mapping_type_raw,notes
OpenMRS,Death Record Consistency,causeOfDeathNonCodedSet,input,Single-Column Predicate,derived,cause_of_death_non_coded IS NOT NULL
OpenMRS,Death Record Consistency,deathRecordValid,output,Not-Persisted,not_persisted,
OpenMRS,Death Record Consistency,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Death Date Consistency Violations,deathDateSet,input,Single-Column Predicate,derived,death_date IS NOT NULL
OpenMRS,Death Date Consistency,deathDateValid,output,Not-Persisted,not_persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
OpenMRS,Death Date Consistency Violations,violationReasons,output,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
OpenMRS,Preferred Identifier Requirement,identifierCount,input,Direct Attribute Reference,direct,"COUNT(*) FROM patient_identifier GROUP BY patient_id (active or all, per patient.voided)"
OpenMRS,Preferred Identifier Requirement,preferredIdentifierValid,output,Not-Persisted,not_persisted,
OpenMRS,Preferred Identifier Requirement,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Location Requirement,locationSet,input,Single-Column Predicate,derived,location_id IS NOT NULL
OpenMRS,Identifier Location Requirement,locationBehavior,input,Direct Attribute Reference,direct,stored enum-like VARCHAR; null treated as REQUIRED per validator L96
OpenMRS,Identifier Location Requirement,locationRequirementValid,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Location Requirement,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Uniqueness Check,uniquenessBehavior,input,Direct Attribute Reference,direct,
OpenMRS,Identifier Uniqueness Check,inUseByAnotherPatient,input,Existence / Correlated Subquery,derived,EXISTS(SELECT 1 FROM patient_identifier pi2 WHERE pi2.identifier=this.identifier AND pi2.identifier_type=this.identifier_type AND pi2.patient_id<>this.patient_id AND pi2.voided=false)
OpenMRS,Identifier Uniqueness Check,duplicateWithinSamePatient,input,Existence / Correlated Subquery,derived,"self-join over the same patient_id per PatientIdentifierValidator L112-130 (globally-unique type, or same/null location match)"
OpenMRS,Identifier Uniqueness Check,identifierUniquenessValid,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Uniqueness Check,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Format Validity,identifierBlank,input,Single-Column Predicate,derived,identifier IS NULL OR TRIM(identifier) = ''
OpenMRS,Identifier Format Validity,formatSet,input,Single-Column Predicate,derived,format IS NOT NULL
OpenMRS,Identifier Format Validity,identifierMatchesFormat,input,Pattern/Regex Match,derived,"regex match of identifier against format (application-level, format is a regex string column)"
OpenMRS,Identifier Format Validity,identifierFormatValid,output,Not-Persisted,not_persisted,
OpenMRS,Identifier Format Validity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Obs Value Required By Datatype,isObsGroup,input,Direct Attribute Reference,derived,EXISTS child obs rows with obs_group_id = this.obs_id (self-referencing FK)
OpenMRS,Obs Value Required By Datatype,conceptDatatype,input,Direct Attribute Reference,direct,join obs.concept_id -> concept.concept_id -> concept.datatype_id -> concept_datatype.concept_datatype_id
OpenMRS,Obs Value Required By Datatype,requiredValueColumn,output,Not-Persisted,not_persisted,generation-guidance label; the value itself names a real obs.value_* column (see decision rules)
OpenMRS,Obs Group Value Exclusivity,isObsGroup,input,Direct Attribute Reference,derived,same as above
OpenMRS,Obs Group Value Exclusivity,anyValueFieldSet,input,Multi-Column Existence (any-of),derived,OR of IS NOT NULL across all value_* columns; NOTE: there is no obs.value_boolean column -- boolean answers are stored via value_coded pointing at the TRUE/FALSE concept
OpenMRS,Obs Group Value Exclusivity,obsStructureValid,output,Not-Persisted,not_persisted,
OpenMRS,Obs Group Value Exclusivity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Numeric Precision Validity,allowDecimal,input,Direct Attribute Reference,direct,joined via obs.concept_id = concept_numeric.concept_id
OpenMRS,Numeric Precision Validity,valueNumericHasFraction,input,Direct Attribute Reference,derived,"MOD(value_numeric, 1) <> 0"
OpenMRS,Numeric Precision Validity,precisionValid,output,Not-Persisted,not_persisted,
OpenMRS,Numeric Precision Validity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Numeric Absolute Range Validity,hiAbsoluteSet,input,Single-Column Predicate,derived,IS NOT NULL; OpenMRS >=2.7 prefers a matching concept_reference_range row when criteria matches the person
OpenMRS,Numeric Absolute Range Validity,lowAbsoluteSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Numeric Absolute Range Validity,absoluteRangeValid,output,Not-Persisted,not_persisted,
OpenMRS,Numeric Absolute Range Validity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Numeric Interpretation Classification,interpretation,output,Decision Output / Write-Back Target,direct,the ONE output in this rule set that is itself a persisted column
OpenMRS,Concept Preferred Name Validity,localePreferred,input,Direct Attribute Reference,direct,
OpenMRS,Concept Preferred Name Validity,isIndexTerm,input,Direct Attribute Reference,derived,concept_name_type = 'INDEX_TERM'
OpenMRS,Concept Preferred Name Validity,isShortName,input,Direct Attribute Reference,derived,concept_name_type = 'SHORT'
OpenMRS,Concept Preferred Name Validity,voided,input,Direct Attribute Reference,direct,
OpenMRS,Concept Preferred Name Validity,preferredNameValid,output,Not-Persisted,not_persisted,
OpenMRS,Concept Preferred Name Validity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Order Date Activated Consistency Violations,dateActivatedSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Order Date Activated Consistency Violations,dateStoppedSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Order Date Activated Consistency Violations,autoExpireDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Order Date Activated Consistency Violations,encounterDatetimeSet,input,Existence / Correlated Subquery,derived,joined via orders.encounter_id; IS NOT NULL
OpenMRS,Order Date Activated Consistency,dateActivatedValid,output,Not-Persisted,not_persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
OpenMRS,Order Date Activated Consistency Violations,violationReasons,output,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
OpenMRS,Order Scheduled Date Urgency Consistency,scheduledDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Order Scheduled Date Urgency Consistency,scheduledDateUrgencyValid,output,Not-Persisted,not_persisted,
OpenMRS,Order Scheduled Date Urgency Consistency,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Program Enrollment Date Consistency Violations,dateCompletedSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Program Enrollment Date Consistency,enrollmentDatesValid,output,Not-Persisted,not_persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
OpenMRS,Program Enrollment Date Consistency Violations,violationReasons,output,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
OpenMRS,Patient State Date Validity,startDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Patient State Date Validity,endDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Patient State Date Validity,patientStateDatesValid,output,Not-Persisted,not_persisted,
OpenMRS,Patient State Date Validity,reasonCode,output,Not-Persisted,not_persisted,
OpenMRS,Relationship Date Validity Violations,startDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Relationship Date Validity Violations,endDateSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Relationship Date Validity,relationshipDatesValid,output,Not-Persisted,not_persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
OpenMRS,Relationship Date Validity Violations,violationReasons,output,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
OpenMRS,Encounter Datetime Validity Violations,visitSet,input,Single-Column Predicate,derived,IS NOT NULL
OpenMRS,Encounter Datetime Validity,encounterDatetimeValid,output,Not-Persisted,not_persisted,"Redesigned 2026-09-10: now a literal-expression decision (count(violationReasons) = 0) downstream of the new *_Violations COLLECT table, rather than an output column on the same table."
OpenMRS,Encounter Datetime Validity Violations,violationReasons,output,Not-Persisted,not_persisted,"COLLECT hit policy (redesigned 2026-09-10, verified against live openmrs-core source): each independently-true row contributes its reason to a list, since the real Java method has no early return between these checks and can raise multiple simultaneously."
OpenMRS,Birthdate Validity,birthdate,input,Direct Attribute Reference,direct,"exposed directly, replacing birthdateIsFutureDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Birthdate Validity,evaluationTime,input,Not-Persisted,not_persisted,"scenario/runtime parameter (time of validation), not a stored column"
OpenMRS,Death Date Consistency Violations,deathDate,input,Direct Attribute Reference,direct,"exposed directly, replacing deathDateIsFutureDate/deathDateBeforeBirthdate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Death Date Consistency Violations,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter
OpenMRS,Death Date Consistency Violations,birthdate,input,Direct Attribute Reference,direct,"exposed directly for the cross-variable deathDate < birthdate comparison (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Preferred Identifier Requirement,preferredIdentifierCount,input,Direct Attribute Reference,derived,"COUNT(*) FROM patient_identifier WHERE patient_id=? AND preferred=true -- replaces the EXISTS-style anyPreferredFlagged boolean with a count, matching this project's Spree redesign's count-instead-of-EXISTS pattern (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Numeric Absolute Range Validity,valueNumeric,input,Direct Attribute Reference,direct,"exposed directly, replacing valueExceedsHiAbsolute/valueBelowLowAbsolute (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Numeric Absolute Range Validity,hiAbsolute,input,Direct Attribute Reference,direct,exposed directly for the cross-variable comparison
OpenMRS,Numeric Absolute Range Validity,lowAbsolute,input,Direct Attribute Reference,direct,exposed directly for the cross-variable comparison
OpenMRS,Numeric Interpretation Classification,valueNumeric,input,Direct Attribute Reference,direct,"exposed directly, replacing all four valueGe/Gt/Le/Lt* booleans; now a single FIRST-hit threshold ladder, same pattern as the Spree tiered-percent redesign (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Numeric Interpretation Classification,hiCritical,input,Direct Attribute Reference,direct,threshold column referenced by valueNumeric's comparisons
OpenMRS,Numeric Interpretation Classification,hiNormal,input,Direct Attribute Reference,direct,threshold column
OpenMRS,Numeric Interpretation Classification,lowCritical,input,Direct Attribute Reference,direct,threshold column
OpenMRS,Numeric Interpretation Classification,lowNormal,input,Direct Attribute Reference,direct,threshold column
OpenMRS,Order Date Activated Consistency Violations,dateActivated,input,Direct Attribute Reference,direct,"exposed directly, replacing dateActivatedIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Order Date Activated Consistency Violations,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter
OpenMRS,Order Date Activated Consistency Violations,dateStopped,input,Direct Attribute Reference,direct,"exposed directly, replacing dateActivatedAfterDateStopped"
OpenMRS,Order Date Activated Consistency Violations,autoExpireDate,input,Direct Attribute Reference,direct,"exposed directly, replacing dateActivatedAfterAutoExpireDate"
OpenMRS,Order Date Activated Consistency Violations,encounterDatetime,input,Cross-Table Join,derived,"joined via orders.encounter_id; exposed directly, replacing encounterDatetimeAfterDateActivated"
OpenMRS,Order Scheduled Date Urgency Consistency,urgency,input,Direct Attribute Reference,direct,"exposed directly as a categorical test (= ""ON_SCHEDULED_DATE""), replacing urgencyIsOnScheduledDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Program Enrollment Date Consistency Violations,dateEnrolled,input,Direct Attribute Reference,direct,"exposed directly, replacing dateEnrolledIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Program Enrollment Date Consistency Violations,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter
OpenMRS,Program Enrollment Date Consistency Violations,dateCompleted,input,Direct Attribute Reference,direct,"exposed directly, replacing dateCompletedIsFuture/dateCompletedBeforeDateEnrolled"
OpenMRS,Patient State Date Validity,startDate,input,Direct Attribute Reference,direct,"exposed directly, replacing endDateBeforeStartDate (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Patient State Date Validity,endDate,input,Direct Attribute Reference,direct,exposed directly for the cross-variable comparison
OpenMRS,Relationship Date Validity Violations,startDate,input,Direct Attribute Reference,direct,"exposed directly, replacing startDateAfterEndDate/startDateIsFuture (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Relationship Date Validity Violations,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter
OpenMRS,Relationship Date Validity Violations,endDate,input,Direct Attribute Reference,direct,exposed directly for the cross-variable comparison
OpenMRS,Encounter Datetime Validity Violations,visitPatientId,input,Cross-Table Join,derived,"joined via encounter.visit_id = visit.visit_id; exposed as an ID-equality test, replacing visitPatientMismatch (redesigned 2026-09-10, boolean-reduction pass: exposed as a real comparison, replacing a pre-collapsed boolean)"
OpenMRS,Encounter Datetime Validity Violations,encounterPatientId,input,Direct Attribute Reference,direct,tested via != visitPatientId
OpenMRS,Encounter Datetime Validity Violations,encounterDatetime,input,Direct Attribute Reference,direct,"exposed directly, replacing encounterDatetimeIsFuture/BeforeVisitStart/AfterVisitStop"
OpenMRS,Encounter Datetime Validity Violations,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter
OpenMRS,Encounter Datetime Validity Violations,visitStartDatetime,input,Cross-Table Join,derived,joined via encounter.visit_id
OpenMRS,Encounter Datetime Validity Violations,visitStopDatetime,input,Cross-Table Join,derived,joined via encounter.visit_id
Spree,Promotion Item Total Eligibility,itemTotal,input,Direct Attribute Reference,direct,
Spree,Effective Minimum Amount Threshold,operatorMin,input,Schema Gap,schema_gap,"serialized text blob (t.text ""preferences""), discriminated by type='Spree::Promotion::Rules::ItemTotal'; no dedicated column, not directly SQL-addressable without JSON/YAML parsing (redesigned 2026-09-10: now consumed only inside the Effective Minimum Amount Threshold literal expression, not a decision-table column)"
Spree,Effective Minimum Amount Threshold,amountMin,input,Schema Gap,schema_gap,"same preferences-blob limitation as operatorMin (redesigned 2026-09-10: now consumed only inside the Effective Minimum Amount Threshold literal expression, not a decision-table column)"
Spree,Effective Minimum Amount Threshold,effectiveMinThreshold,input,Not-Persisted,not_persisted,"formula output; resolves operatorMin into one concrete number (amountMin, or amountMin+0.01 if strict)"
Spree,Promotion Item Total Eligibility,amountMaxSet,input,Schema Gap,schema_gap,"existence check, unchanged by the redesign"
Spree,Effective Maximum Amount Threshold,operatorMax,input,Schema Gap,schema_gap,"same preferences-blob limitation (redesigned 2026-09-10: now consumed only inside the Effective Maximum Amount Threshold literal expression, not a decision-table column)"
Spree,Effective Maximum Amount Threshold,amountMax,input,Schema Gap,schema_gap,"same preferences-blob limitation (redesigned 2026-09-10: now consumed only inside the Effective Maximum Amount Threshold literal expression, not a decision-table column)"
Spree,Effective Maximum Amount Threshold,effectiveMaxThreshold,input,Not-Persisted,not_persisted,"formula output; resolves operatorMax into one concrete number (amountMax, or amountMax-0.01 if strict)"
Spree,Promotion Item Total Eligibility,itemTotalEligible,input,Not-Persisted,not_persisted,"write-back target is a runtime eligibility_errors check, not a column; realized indirectly via whether a spree_discounts row is created. Redesigned twice 2026-09-10: round 1 moved operators upstream; round 2 switched to UNIQUE hit policy with a FEEL range literal, validated exhaustive/non-overlapping by in-session brute-force sweep"
Spree,Promotion Temporal Availability,evaluationTime,input,Not-Persisted,not_persisted,scenario/runtime parameter (Time.current at evaluation)
Spree,Promotion Temporal Availability,startsAt,input,Direct Attribute Reference,direct,
Spree,Promotion Temporal Availability,expiresAtSet,input,Single-Column Predicate,derived,existence check (IS NOT NULL)
Spree,Promotion Temporal Availability,expiresAt,input,Direct Attribute Reference,direct,
Spree,Promotion Temporal Availability,availabilityStatus,input,Not-Persisted,not_persisted,computed at call time
Spree,Promotion Usage Limit Exceeded,usageLimitSet,input,Single-Column Predicate,derived,existence check (IS NOT NULL)
Spree,Promotion Usage Limit Exceeded,usageLimit,input,Direct Attribute Reference,direct,
Spree,Promotion Usage Limit Exceeded,adjustedCreditsCount,input,Direct Attribute Reference,derived,"COUNT of spree_discounts rows where promotion_action_id IN (actions for this promotion), minus same-order-group double count per adjusted_credits_count()'s sibling_order_ids logic"
Spree,Promotion Usage Limit Exceeded,usageLimitExceeded,input,Not-Persisted,not_persisted,runtime boolean
Spree,Customer Group Match Count,customerGroupIds,input,Direct Attribute Reference,derived,join; column is customer_id after 20260728000003_rename_user_id_to_customer_id.rb renamed it from user_id
Spree,Customer Group Match Count,promotionTargetGroupIds,input,Schema Gap,schema_gap,CustomerGroup rule's customer_group_ids array lives in the serialized preferences blob
Spree,Customer Group Match Count,matchingCustomerGroupCount,input,Not-Persisted,not_persisted,formula output
Spree,Promotion Customer Group Eligibility,customerIdPresent,input,Single-Column Predicate,derived,existence check (IS NOT NULL); column renamed from user_id
Spree,Promotion Customer Group Eligibility,promotionTargetGroupsConfigured,input,Schema Gap,schema_gap,existence check over the same blob as promotionTargetGroupIds
Spree,Promotion Customer Group Eligibility,matchingCustomerGroupCount,input,Compound / Unclassified Derivation,derived,substituted from Customer Group Match Count per DRD edge
Spree,Promotion Customer Group Eligibility,customerGroupEligible,input,Not-Persisted,not_persisted,runtime boolean
Spree,Prior Completed Order Count,customerOrEmail,input,Direct Attribute Reference,derived,join key
Spree,Prior Completed Order Count,priorCompletedOrderCount,input,Not-Persisted,not_persisted,formula output (COUNT over spree_orders)
Spree,First-Order Promotion Eligibility,userOrEmailPresent,input,Multi-Column Existence (any-of),derived,existence check (either populated)
